id,name,category,country,state,district,normalizedName,startingLetter,endingLetter
subdistrict-2259,Satbarwa,subdistrict,India,,,satbarwa,S,A
subdistrict-2260,Lesliganj,subdistrict,India,,,lesliganj,L,J
subdistrict-2261,Garhwa,subdistrict,India,,,garhwa,G,A
subdistrict-2262,Kanhachatti,subdistrict,India,,,kanhachatti,K,I
subdistrict-2263,Ketar,subdistrict,India,,,ketar,K,R
subdistrict-2264,Pandu,subdistrict,India,,,pandu,P,U
subdistrict-2265,Ranka,subdistrict,India,,,ranka,R,A
subdistrict-2266,Jama,subdistrict,India,,,jama,J,A
subdistrict-2267,Bandgaon,subdistrict,India,,,bandgaon,B,N
subdistrict-2268,Kharsawan,subdistrict,India,,,kharsawan,K,N
subdistrict-2269,Bolba,subdistrict,India,,,bolba,B,A
subdistrict-2270,Padwa,subdistrict,India,,,padwa,P,A
subdistrict-2271,Sagma,subdistrict,India,,,sagma,S,A
subdistrict-2272,Bermo,subdistrict,India,,,bermo,B,O
subdistrict-2273,Bishunpura,subdistrict,India,,,bishunpura,B,A
subdistrict-2274,Dadi,subdistrict,India,,,dadi,D,I
subdistrict-2275,Itkhori,subdistrict,India,,,itkhori,I,I
subdistrict-2276,Bhawnathpur,subdistrict,India,,,bhawnathpur,B,R
subdistrict-2279,Sarath,subdistrict,India,,,sarath,S,H
subdistrict-2280,Manika,subdistrict,India,,,manika,M,A
subdistrict-2281,Latehar,subdistrict,India,,,latehar,L,R
subdistrict-2282,Bishrampur,subdistrict,India,,,bishrampur,B,R
subdistrict-2283,Dandai,subdistrict,India,,,dandai,D,I
subdistrict-2284,Bhandaria,subdistrict,India,,,bhandaria,B,A
subdistrict-2285,Chinia,subdistrict,India,,,chinia,C,A
subdistrict-2286,Ichak,subdistrict,India,,,ichak,I,K
subdistrict-2287,Goelkera,subdistrict,India,,,goelkera,G,A
subdistrict-2288,Barkatha,subdistrict,India,,,barkatha,B,A
subdistrict-2289,Tatijhariya,subdistrict,India,,,tatijhariya,T,A
subdistrict-2290,Nagri,subdistrict,India,,,nagri,N,I
subdistrict-2291,Margomunda,subdistrict,India,,,margomunda,M,A
subdistrict-2292,Manjhari,subdistrict,India,,,manjhari,M,I
subdistrict-2293,Kumardungi,subdistrict,India,,,kumardungi,K,I
subdistrict-2294,Jagannathpur,subdistrict,India,,,jagannathpur,J,R
subdistrict-2295,Thethaitanger,subdistrict,India,,,thethaitanger,T,R
subdistrict-2296,Bano,subdistrict,India,,,bano,B,O
subdistrict-2297,Chandwa,subdistrict,India,,,chandwa,C,A
subdistrict-2298,Gomia,subdistrict,India,,,gomia,G,A
subdistrict-2299,Karown,subdistrict,India,,,karown,K,N
subdistrict-2300,Sahibganj,subdistrict,India,,,sahibganj,S,J
subdistrict-2301,Manjhiaon,subdistrict,India,,,manjhiaon,M,N
subdistrict-2302,Nimdih,subdistrict,India,,,nimdih,N,H
subdistrict-2303,Manjhgaon,subdistrict,India,,,manjhgaon,M,N
subdistrict-2304,Nawdiha Bazar,subdistrict,India,,,nawdihabazar,N,R
subdistrict-2306,Pakartanr,subdistrict,India,,,pakartanr,P,R
subdistrict-2307,Boram,subdistrict,India,,,boram,B,M
subdistrict-2308,Pakuria,subdistrict,India,,,pakuria,P,A
subdistrict-2309,Kisko,subdistrict,India,,,kisko,K,O
subdistrict-2310,Peshrar,subdistrict,India,,,peshrar,P,R
subdistrict-2311,Domchanch,subdistrict,India,,,domchanch,D,H
subdistrict-2312,Sarwan,subdistrict,India,,,sarwan,S,N
subdistrict-2313,Tarhasi,subdistrict,India,,,tarhasi,T,I
subdistrict-2314,Karmatanr Vidyasagar,subdistrict,India,,,karmatanrvidyasagar,K,R
subdistrict-2315,Katkamdag,subdistrict,India,,,katkamdag,K,G
subdistrict-2317,Gudri,subdistrict,India,,,gudri,G,I
subdistrict-2318,Kersai,subdistrict,India,,,kersai,K,I
subdistrict-2319,Tandwa,subdistrict,India,,,tandwa,T,A
subdistrict-2320,Markacho,subdistrict,India,,,markacho,M,O
subdistrict-2321,Bariyatu,subdistrict,India,,,bariyatu,B,U
subdistrict-2322,Bagodar,subdistrict,India,,,bagodar,B,R
subdistrict-2323,Suriya,subdistrict,India,,,suriya,S,A
subdistrict-2324,Balumath,subdistrict,India,,,balumath,B,H
subdistrict-2325,Churchu,subdistrict,India,,,churchu,C,U
subdistrict-2326,Bansjore,subdistrict,India,,,bansjore,B,E
subdistrict-2327,Herhanj,subdistrict,India,,,herhanj,H,J
subdistrict-2328,Bharno,subdistrict,India,,,bharno,B,O
subdistrict-2329,Dulmi,subdistrict,India,,,dulmi,D,I
subdistrict-2330,Lohardaga,subdistrict,India,,,lohardaga,L,A
subdistrict-2331,Kairo,subdistrict,India,,,kairo,K,O
subdistrict-2332,Ramkanda,subdistrict,India,,,ramkanda,R,A
subdistrict-2333,Sadar,subdistrict,India,,,sadar,S,R
subdistrict-2334,Lapung,subdistrict,India,,,lapung,L,G
subdistrict-2335,Kunda,subdistrict,India,,,kunda,K,A
subdistrict-2336,Mahuadanr,subdistrict,India,,,mahuadanr,M,R
subdistrict-2337,Dhurki,subdistrict,India,,,dhurki,D,I
subdistrict-2338,Bardiha,subdistrict,India,,,bardiha,B,A
subdistrict-2339,Purvi Tundi,subdistrict,India,,,purvitundi,P,I
subdistrict-2340,Gamharia,subdistrict,India,,,gamharia,G,A
subdistrict-2341,Thakurgangti,subdistrict,India,,,thakurgangti,T,I
subdistrict-2342,Meral,subdistrict,India,,,meral,M,L
subdistrict-2343,Sonaraithari,subdistrict,India,,,sonaraithari,S,I
subdistrict-2344,Kolebira,subdistrict,India,,,kolebira,K,A
subdistrict-2345,Palkot,subdistrict,India,,,palkot,P,T
subdistrict-2346,Amrapara,subdistrict,India,,,amrapara,A,A
subdistrict-2347,Lawalong,subdistrict,India,,,lawalong,L,G
subdistrict-2348,Kamdara,subdistrict,India,,,kamdara,K,A
subdistrict-2350,Mandro,subdistrict,India,,,mandro,M,O
subdistrict-2352,Mandu,subdistrict,India,,,mandu,M,U
subdistrict-2354,Chatra,subdistrict,India,,,chatra,C,A
subdistrict-2355,Mayurhand,subdistrict,India,,,mayurhand,M,D
subdistrict-2356,Keredari,subdistrict,India,,,keredari,K,I
subdistrict-2358,Burmu,subdistrict,India,,,burmu,B,U
subdistrict-2359,Birni,subdistrict,India,,,birni,B,I
subdistrict-2360,Medininagar,subdistrict,India,,,medininagar,M,R
subdistrict-2361,Simdega,subdistrict,India,,,simdega,S,A
subdistrict-2362,Tundi,subdistrict,India,,,tundi,T,I
subdistrict-2363,Rahe,subdistrict,India,,,rahe,R,E
subdistrict-2365,Baliapur,subdistrict,India,,,baliapur,B,R
subdistrict-2366,Nawadih,subdistrict,India,,,nawadih,N,H
subdistrict-2367,Gurabanda,subdistrict,India,,,gurabanda,G,A
subdistrict-2368,Jhinkpani,subdistrict,India,,,jhinkpani,J,I
subdistrict-2369,Bhandra,subdistrict,India,,,bhandra,B,A
subdistrict-2370,Bero,subdistrict,India,,,bero,B,O
subdistrict-2371,Kuru,subdistrict,India,,,kuru,K,U
subdistrict-2372,Golmuri Cum Jugsalai,subdistrict,India,,,golmuricumjugsalai,G,I
subdistrict-2374,Topchanchi,subdistrict,India,,,topchanchi,T,I
